id,claim,source,url,evidence_type,application,limitation,confidence
T01,"The current motto uses Aptos Display at weight 690/820 with outcome tracking of -0.07em; the interaction creates the compressed poster feeling visible in the baseline.","Current repository: assets/hero.css","../../../../assets/hero.css","Authoritative local implementation","Defines the control and identifies variables that must be separated.","The aesthetic diagnosis remains expert judgment rather than participant data.","High for implementation; medium for perception"
T02,"Inter is designed for computer screens, has a tall x-height, supports variable weights and is distributed under OFL 1.1.","Inter official repository","https://github.com/rsms/inter","Official primary font source","Supports a precise 680 weight and readable mixed-case hero copy with self-hosting.","A screen-oriented font is not automatically the best brand font; the official source also notes that display-size design involves different trade-offs.","High"
T03,"Source Sans 3 was designed for UI environments and is distributed under OFL 1.1.","Adobe Fonts official repository","https://github.com/adobe-fonts/source-sans","Official primary font source","Provides a warmer humanist control against Inter.","UI suitability does not prove the best semantic fit for Final Prime.","High"
T04,"IBM Plex is a broad, open font family under OFL, but it is explicitly IBM intellectual property and IBM's own design language typeface.","IBM Design Language","https://www.ibm.com/design/language/typography/typeface/","Official primary font source","Provides a technical, engineered comparison and exposes borrowed-brand risk.","Association strength differs by viewer and market.","High for provenance; medium for perceived association"
T05,"Typeface cues can alter brand perceptions and memory; congruence among typography, visual cues and copy improved memory in the tested advertising context.","Childers and Jass, 2002","https://doi.org/10.1207/S15327663JCP1202_03","Peer-reviewed primary research","Justifies judging the font in the whole hero rather than in an alphabet specimen.","Advertising stimuli and consumer-memory tasks do not directly predict homepage preference or conversion.","Medium-high"
T06,"Chunking and shorter lines can help reading, but high line-length variability can outweigh those benefits.","Keenan, 1984","https://eric.ed.gov/?id=EJ308203","Peer-reviewed primary research","Supports phrase-preserving breaks without manufacturing a ragged six-line staircase.","Long-form reading tasks differ from a two-sentence hero motto.","Medium"
T07,"Line breaks can induce implicit prosodic boundaries, and matching those boundaries to sentence structure can reduce processing load in the tested sentences.","Hirotani et al., 2016","https://pmc.ncbi.nlm.nih.gov/articles/PMC5054017/","Peer-reviewed primary research","Supports breaking only at the two sentence or clause boundaries.","The experiment used English temporal questions, not marketing headlines.","Medium"
T08,"Text must survive 200% resizing and content must reflow at 320 CSS px without loss; large text needs at least 3:1 contrast.","W3C WCAG 2.2","https://www.w3.org/TR/WCAG22/","Normative standard","Hard gate for the responsive typography and color choices.","Conformance does not establish aesthetic quality.","High"
T09,"Against #090b0d, the current white, cyan and fuchsia measure 18.31:1, 13.05:1 and 5.59:1 respectively.","Local WCAG relative-luminance calculation","","Deterministic calculation","Shows that the accent decision is about hierarchy and intensity, not minimum large-text contrast.","The calculation does not model glare, low brightness, display calibration or individual perception.","High"
T10,"At 320 px, every finalist has zero horizontal overflow. P4/P5/P6 use 131 px of motto height versus 165.1 px for P1/P2/P3; at 1440 px the corresponding heights are about 117 px versus 225.5 px.","Automated Chromium geometry audit, 2026-07-18","screenshots/finalists-part-1.png and screenshots/finalists-part-2.png","Direct rendered measurement","Quantifies how the two-sentence family reduces the second-poster effect and advances the orientation content on narrow screens.","Geometry does not measure preference or comprehension.","High"
T11,"The first two-line prototype used nowrap and overflowed internally at 200% text size; after removing nowrap, all shortlisted structures have zero internal and document-level horizontal overflow at 200%.","Automated Chromium falsification test, 2026-07-18","preview-source.txt","Direct rendered measurement","Records a found-and-fixed failure instead of treating a clean screenshot as proof.","The research preview is not the production implementation; the same gate must be rerun after integration.","High"
